Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
9/19/2007 9:03:53 AM,"The medication has helped me keep my 2 month sugarlevel between 5.0-6.2 mmol/L
(90- 105 mg/dl)",Type 2 Diabetes Mellitus,metformin oral,5,4,22,"bjorn, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",3
9/18/2007 11:18:23 AM,"The medication has helped me keep my 2 month sugarlevel between 5.0-6.2 mmol/L
(90- 105 mg/dl)",Type 2 Diabetes Mellitus,metformin oral,5,4,22,"cutie54, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
3/2/2015 7:26:37 PM,I have been taking Tanzeum for four weeks and now into my fifth week.  Along with my diabetic friendly meals I am now losing some weight which wasn't happening with Metformin alone.  I have not had any of the side effects that are listed by the maker but did have constipation to some degree one week.  We will see if that continues or not.  It's easy to use!,Type 2 Diabetes Mellitus,Tanzeum subcutaneous,5,5,15,65-74 Female  on Treatment for 1 to 6 months (Patient),5
1/4/2015 6:47:30 AM,I have been taking Tanzeum for four weeks and now into my fifth week.  Along with my diabetic friendly meals I am now losing some weight which wasn't happening with Metformin alone.  I have not had any of the side effects that are listed by the maker but did have constipation to some degree one week.  We will see if that continues or not.  It's easy to use!,Type 2 Diabetes Mellitus,Tanzeum subcutaneous,4,2,15,"MarkW, 65-74 Male  on Treatment for 1 to 6 months (Patient)",1
10/20/2014 3:13:21 PM,I have been taking Tanzeum for four weeks and now into my fifth week.  Along with my diabetic friendly meals I am now losing some weight which wasn't happening with Metformin alone.  I have not had any of the side effects that are listed by the maker but did have constipation to some degree one week.  We will see if that continues or not.  It's easy to use!,Type 2 Diabetes Mellitus,Tanzeum subcutaneous,5,5,15,"Les, 55-64 Female  (Patient)",5
1/23/2009 11:51:38 PM,All insulins need to be adjusted to your own body time and condition keep in touch with your dr and adjust till you find what dose works for you. The pens are painless.,Diabetes,Novolog Flexpen subcutaneous,5,4,3,35-44 Female  on Treatment for 1 to less than 2 years (Patient),4
3/26/2008 8:24:47 PM,Since taking this drug I have developed a bad cough and sinus problems. ,Type 2 Diabetes Mellitus,Prandin oral,4,4,11,,3
3/2/2008 8:53:24 AM,Since taking this drug I have developed a bad cough and sinus problems. ,Type 2 Diabetes Mellitus,Prandin oral,5,1,11,,1
2/10/2008 1:21:11 PM,Since taking this drug I have developed a bad cough and sinus problems. ,Type 2 Diabetes Mellitus,Prandin oral,5,3,11,,2
10/17/2007 5:13:04 PM,Since taking this drug I have developed a bad cough and sinus problems. ,Type 2 Diabetes Mellitus,Prandin oral,3,5,11,"Hector D, 65-74 Male  on Treatment for 10 years or more (Patient)",4
